,Daily cash inflow,Daily cashback (retail withdrawal),Daily change given,Net cash in tills,CIT uplift per pickup,Till float
count,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
mean,741841510.0340627,81809425.06443405,185460377.5085157,474571707.4611131,158190569.15370435,499.0652923326988
std,74456908.63335255,18306063.19285406,18614227.158338137,50508739.16607111,16836246.38869037,74.35636214443933
min,450957901.329919,19836416.070625342,112739475.33247975,282793099.86618036,94264366.62206012,225.86851136719207
5%,619209520.8117748,53195697.37365396,154802380.2029437,392766657.73502773,130922219.24500924,378.727039570008
25%,692093782.673473,69140565.77802204,173023445.66836825,440183580.979725,146727860.32657498,447.4886057255144
50%,741807452.7961686,81098450.67247617,185451863.19904214,473508238.8422144,157836079.6140715,499.5673818218322
75%,791794201.8795582,93824738.48485275,197948550.46988955,508301369.55737877,169433789.8524596,549.7923069847861
95%,863888949.4330477,112909675.21440202,215972237.3582619,559254661.2404346,186418220.41347823,622.5777370047919
max,1033326837.8175756,150199012.08117887,258331709.4543939,673412097.2229383,224470699.07431278,776.8718375898354
