id,age,gender,province,population_group,monthly_income,education_level,employment_status,main_income_source,uses_bank_account,withdrawal_frequency,withdrawal_percentage,preferred_withdrawal_channel,reason_for_cash_use
1,33,Female,Eastern Cape,Black African,3950.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
2,28,Male,Gauteng,Black African,3750.0,Primary,Employed,Salary,No,Less often,100,None,No bank account
3,18,Male,Limpopo,Black African,22670.0,Primary,Employed,Salary,Yes,Weekly,85,Retail store,Other
4,27,Male,Eastern Cape,Black African,6740.0,Primary,Employed,Salary,Yes,Less often,92,ATM,Too little money
5,20,Female,Gauteng,White,27220.0,Tertiary,Employed,Salary,Yes,Daily,43,ATM,Too little money
6,44,Male,Gauteng,Black African,3710.0,No formal education,Unemployed,Grants,No,Less often,100,None,No bank account
7,45,Female,Limpopo,Black African,1500.0,Secondary,Unemployed,Grants,Yes,Weekly,75,ATM,Too little money
8,45,Male,Western Cape,Black African,10300.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
9,44,Male,Western Cape,Black African,2610.0,Primary,Self-employed,Salary,Yes,Monthly,95,ATM,Personal preference
10,25,Female,Limpopo,Black African,1960.0,Secondary,Self-employed,Salary,No,Less often,100,None,No bank account
11,31,Male,KwaZulu-Natal,Coloured,580.0,Primary,Employed,Salary,Yes,Less often,85,ATM,Too little money
12,23,Female,North West,Black African,9850.0,Secondary,Employed,Salary,Yes,Daily,56,ATM,Personal preference
13,64,Female,Gauteng,Black African,7500.0,Primary,Retired,Grants,Yes,Monthly,54,ATM,Too little money
14,42,Male,Mpumalanga,Black African,20090.0,Secondary,Employed,Salary,Yes,Monthly,55,ATM,Too little money
15,30,Male,Free State,Black African,1890.0,Secondary,Self-employed,Salary,No,Less often,100,None,No bank account
16,51,Male,Western Cape,Coloured,79660.0,Tertiary,Employed,Salary,Yes,Weekly,37,Retail store,Too little money
17,38,Female,Western Cape,Black African,9740.0,No formal education,Employed,Salary,No,Less often,100,None,No bank account
18,37,Female,Eastern Cape,Black African,1190.0,Secondary,Employed,Salary,Yes,Monthly,94,ATM,Too little money
19,39,Male,Gauteng,Black African,11540.0,Secondary,Unemployed,Grants,Yes,Monthly,50,ATM,Too little money
20,22,Female,North West,White,18860.0,Secondary,Employed,Salary,No,Less often,100,None,No bank account
21,44,Male,Mpumalanga,Black African,4130.0,Secondary,Employed,Salary,Yes,Weekly,61,ATM,Other
22,35,Female,Limpopo,Black African,1170.0,Secondary,Unemployed,Grants,No,Less often,100,None,No bank account
23,81,Female,Eastern Cape,Black African,3800.0,Primary,Retired,Pension,Yes,Daily,82,ATM,Too little money
